# {
#     "poni_version": 2.1,
#     "dist": 2.9096968104998107,
#     "poni1": 0.10779319712289274,
#     "poni2": 0.08448893861682619,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/SAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_SAXS.dat
#       q_nm^-1              I           sigma 
  3.736144e-02    2.013980e+01   2.793253e-01
  3.956474e-02    1.774644e+01   1.627968e-01
  4.176803e-02    1.531437e+01   1.073468e-01
  4.397133e-02    1.387681e+01   7.861140e-02
  4.617463e-02    1.250598e+01   6.176282e-02
  4.837792e-02    1.106928e+01   5.119348e-02
  5.058122e-02    9.679745e+00   4.300920e-02
  5.278452e-02    8.434903e+00   3.700165e-02
  5.498781e-02    7.368672e+00   3.237719e-02
  5.719111e-02    6.513961e+00   2.880447e-02
  5.939441e-02    5.789572e+00   2.589267e-02
  6.159770e-02    5.211312e+00   2.336450e-02
  6.380100e-02    4.699482e+00   2.135283e-02
  6.600429e-02    4.215232e+00   1.923915e-02
  6.820759e-02    3.875897e+00   1.738493e-02
  7.041089e-02    3.587530e+00   1.599365e-02
  7.261418e-02    3.282899e+00   1.469130e-02
  7.481748e-02    3.004864e+00   1.364769e-02
  7.702078e-02    2.724282e+00   1.271077e-02
  7.922407e-02    2.471622e+00   1.182629e-02
  8.142737e-02    2.264695e+00   1.112399e-02
  8.363066e-02    2.070718e+00   1.041439e-02
  8.583396e-02    1.898324e+00   9.747187e-03
  8.803726e-02    1.741189e+00   9.203915e-03
  9.024055e-02    1.602489e+00   8.668113e-03
  9.244385e-02    1.485931e+00   8.204844e-03
  9.464715e-02    1.382575e+00   7.783578e-03
  9.685044e-02    1.287106e+00   7.401442e-03
  9.905374e-02    1.192520e+00   7.030471e-03
  1.012570e-01    1.102111e+00   6.623971e-03
  1.034603e-01    1.026187e+00   6.303669e-03
  1.056636e-01    9.615906e-01   6.033205e-03
  1.078669e-01    9.051058e-01   5.757918e-03
  1.100702e-01    8.461897e-01   5.490636e-03
  1.122735e-01    7.912905e-01   5.252705e-03
  1.144768e-01    7.486891e-01   5.039786e-03
  1.166801e-01    7.074375e-01   4.850097e-03
  1.188834e-01    6.671984e-01   4.637327e-03
  1.210867e-01    6.288544e-01   4.457619e-03
  1.232900e-01    5.930488e-01   4.285667e-03
  1.254933e-01    5.591877e-01   4.102580e-03
  1.276966e-01    5.333598e-01   3.975463e-03
  1.298999e-01    5.081495e-01   3.845240e-03
  1.321032e-01    4.808462e-01   3.691348e-03
  1.343065e-01    4.599155e-01   3.576155e-03
  1.365098e-01    4.410596e-01   3.462185e-03
  1.387131e-01    4.192963e-01   3.345969e-03
  1.409164e-01    4.008481e-01   3.235987e-03
  1.431197e-01    3.868124e-01   3.150386e-03
  1.453230e-01    3.682577e-01   3.053188e-03
  1.475263e-01    3.518188e-01   2.947533e-03
  1.497296e-01    3.400140e-01   2.879363e-03
  1.519329e-01    3.292103e-01   2.808069e-03
  1.541361e-01    3.143437e-01   2.711172e-03
  1.563394e-01    3.057374e-01   2.660524e-03
  1.585427e-01    2.971408e-01   2.597875e-03
  1.607460e-01    2.859772e-01   2.530922e-03
  1.629493e-01    2.749857e-01   2.463504e-03
  1.651526e-01    2.653780e-01   2.396273e-03
  1.673559e-01    2.586523e-01   2.350494e-03
  1.695592e-01    2.494076e-01   2.291007e-03
  1.717625e-01    2.406216e-01   2.225736e-03
  1.739658e-01    2.376500e-01   2.203290e-03
  1.761691e-01    2.342688e-01   2.169165e-03
  1.783724e-01    2.273112e-01   2.117986e-03
  1.805757e-01    2.225722e-01   2.087955e-03
  1.827790e-01    2.183793e-01   2.045490e-03
  1.849823e-01    2.131663e-01   2.011287e-03
  1.871856e-01    2.118195e-01   1.987488e-03
  1.893889e-01    2.094635e-01   1.969113e-03
  1.915922e-01    2.041024e-01   1.930613e-03
  1.937955e-01    1.985039e-01   1.888572e-03
  1.959988e-01    1.960696e-01   1.870526e-03
  1.982021e-01    1.942028e-01   1.848600e-03
  2.004054e-01    1.924313e-01   1.823149e-03
  2.026087e-01    1.894949e-01   1.801373e-03
  2.048120e-01    1.868763e-01   1.773429e-03
  2.070153e-01    1.859179e-01   1.763349e-03
  2.092186e-01    1.838475e-01   1.744985e-03
  2.114219e-01    1.830629e-01   1.725744e-03
  2.136251e-01    1.830166e-01   1.723077e-03
  2.158284e-01    1.813164e-01   1.698411e-03
  2.180317e-01    1.781039e-01   1.672826e-03
  2.202350e-01    1.764289e-01   1.659317e-03
  2.224383e-01    1.769325e-01   1.647727e-03
  2.246416e-01    1.770829e-01   1.643858e-03
  2.268449e-01    1.747713e-01   1.624363e-03
  2.290482e-01    1.727094e-01   1.602841e-03
  2.312515e-01    1.748797e-01   1.606314e-03
  2.334548e-01    1.784568e-01   1.615591e-03
  2.356581e-01    1.774063e-01   1.599879e-03
  2.378614e-01    1.744409e-01   1.582354e-03
  2.400647e-01    1.744245e-01   1.567872e-03
  2.422680e-01    1.742729e-01   1.566420e-03
  2.444713e-01    1.734367e-01   1.550349e-03
  2.466746e-01    1.751626e-01   1.550543e-03
  2.488779e-01    1.770151e-01   1.553005e-03
  2.510812e-01    1.778357e-01   1.543050e-03
  2.532845e-01    1.767148e-01   1.537059e-03
  2.554878e-01    1.757474e-01   1.519826e-03
  2.576911e-01    1.769656e-01   1.521230e-03
  2.598944e-01    1.774144e-01   1.514280e-03
  2.620977e-01    1.778783e-01   1.512130e-03
  2.643010e-01    1.798546e-01   1.512070e-03
  2.665043e-01    1.804455e-01   1.510161e-03
  2.687076e-01    1.784821e-01   1.490482e-03
  2.709109e-01    1.770757e-01   1.480996e-03
  2.731141e-01    1.770782e-01   1.472809e-03
  2.753174e-01    1.783548e-01   1.472832e-03
  2.775207e-01    1.798036e-01   1.476095e-03
  2.797240e-01    1.820090e-01   1.477219e-03
  2.819273e-01    1.828106e-01   1.473916e-03
  2.841306e-01    1.815733e-01   1.461523e-03
  2.863339e-01    1.813541e-01   1.450827e-03
  2.885372e-01    1.821618e-01   1.452830e-03
  2.907405e-01    1.827171e-01   1.445360e-03
  2.929438e-01    1.824509e-01   1.439290e-03
  2.951471e-01    1.808470e-01   1.429221e-03
  2.973504e-01    1.809476e-01   1.420750e-03
  2.995537e-01    1.821663e-01   1.421196e-03
  3.017570e-01    1.813212e-01   1.411389e-03
  3.039603e-01    1.813957e-01   1.405716e-03
  3.061636e-01    1.813072e-01   1.405443e-03
  3.083669e-01    1.810287e-01   1.390160e-03
  3.105702e-01    1.819401e-01   1.395980e-03
  3.127735e-01    1.823980e-01   1.390904e-03
  3.149768e-01    1.805401e-01   1.376321e-03
  3.171801e-01    1.779870e-01   1.362374e-03
  3.193834e-01    1.766295e-01   1.348191e-03
  3.215867e-01    1.774451e-01   1.350317e-03
  3.237900e-01    1.777898e-01   1.348902e-03
  3.259933e-01    1.756228e-01   1.330535e-03
  3.281966e-01    1.736057e-01   1.321113e-03
  3.303999e-01    1.733979e-01   1.316187e-03
  3.326031e-01    1.727603e-01   1.304945e-03
  3.348064e-01    1.711753e-01   1.299952e-03
  3.370097e-01    1.681245e-01   1.279072e-03
  3.392130e-01    1.655691e-01   1.265605e-03
  3.414163e-01    1.653224e-01   1.261854e-03
  3.436196e-01    1.636456e-01   1.248519e-03
  3.458229e-01    1.619618e-01   1.242186e-03
  3.480262e-01    1.622480e-01   1.235651e-03
  3.502295e-01    1.615196e-01   1.230429e-03
  3.524328e-01    1.600287e-01   1.221394e-03
  3.546361e-01    1.580749e-01   1.209275e-03
  3.568394e-01    1.558707e-01   1.197963e-03
  3.590427e-01    1.536149e-01   1.182299e-03
  3.612460e-01    1.519196e-01   1.175151e-03
  3.634493e-01    1.503990e-01   1.165289e-03
  3.656526e-01    1.487481e-01   1.151798e-03
  3.678559e-01    1.479173e-01   1.146579e-03
  3.700592e-01    1.463442e-01   1.137200e-03
  3.722625e-01    1.421860e-01   1.116952e-03
  3.744658e-01    1.396636e-01   1.103008e-03
  3.766691e-01    1.401223e-01   1.103502e-03
  3.788724e-01    1.381724e-01   1.091323e-03
  3.810757e-01    1.359251e-01   1.078476e-03
  3.832790e-01    1.350184e-01   1.071243e-03
  3.854823e-01    1.320878e-01   1.058345e-03
  3.876856e-01    1.295668e-01   1.041083e-03
  3.898889e-01    1.279038e-01   1.035499e-03
  3.920921e-01    1.254651e-01   1.021348e-03
  3.942954e-01    1.224227e-01   1.005325e-03
  3.964987e-01    1.209047e-01   9.972899e-04
  3.987020e-01    1.197836e-01   9.879755e-04
  4.009053e-01    1.190364e-01   9.819944e-04
  4.031086e-01    1.173510e-01   9.734055e-04
  4.053119e-01    1.154081e-01   9.626431e-04
  4.075152e-01    1.129473e-01   9.481692e-04
  4.097185e-01    1.113834e-01   9.408048e-04
  4.119218e-01    1.107251e-01   9.339752e-04
  4.141251e-01    1.094928e-01   9.291542e-04
  4.163284e-01    1.069004e-01   9.115392e-04
  4.185317e-01    1.036207e-01   8.940632e-04
  4.207350e-01    1.023369e-01   8.884830e-04
