# {
#     "poni_version": 2.1,
#     "dist": 0.15768496156055517,
#     "poni1": 0.01846849792105989,
#     "poni2": 0.014689110424981307,
#     "rot1": -0.5666082591692108,
#     "rot2": -0.0014812675151785156,
#     "rot3": 0.0,
#     "detector": "Pilatus100k",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/WAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_WAXS.dat
#       q_nm^-1              I           sigma 
  9.354751e+00    1.330488e+00   2.543747e-02
  9.385275e+00    1.346443e+00   1.970733e-02
  9.415799e+00    1.370327e+00   1.694744e-02
  9.446323e+00    1.371627e+00   1.516630e-02
  9.476847e+00    1.372553e+00   1.461365e-02
  9.507371e+00    1.380882e+00   1.321501e-02
  9.537895e+00    1.385595e+00   1.336160e-02
  9.568419e+00    1.372962e+00   1.205476e-02
  9.598943e+00    1.375030e+00   1.238880e-02
  9.629467e+00    1.397093e+00   1.157569e-02
  9.659991e+00    1.403972e+00   1.179785e-02
  9.690515e+00    1.391133e+00   1.111627e-02
  9.721039e+00    1.386138e+00   1.092573e-02
  9.751563e+00    1.398890e+00   1.077402e-02
  9.782087e+00    1.420648e+00   1.046972e-02
  9.812610e+00    1.426823e+00   1.052828e-02
  9.843134e+00    1.421980e+00   9.942205e-03
  9.873658e+00    1.424464e+00   1.020664e-02
  9.904182e+00    1.420381e+00   9.640148e-03
  9.934706e+00    1.413665e+00   9.861724e-03
  9.965230e+00    1.409078e+00   9.363205e-03
  9.995754e+00    1.408830e+00   9.546493e-03
  1.002628e+01    1.418526e+00   9.286069e-03
  1.005680e+01    1.435477e+00   9.251623e-03
  1.008733e+01    1.449464e+00   9.200057e-03
  1.011785e+01    1.451202e+00   8.981145e-03
  1.014837e+01    1.443603e+00   9.011958e-03
  1.017890e+01    1.431706e+00   8.639290e-03
  1.020942e+01    1.434167e+00   8.825962e-03
  1.023995e+01    1.444568e+00   8.491596e-03
  1.027047e+01    1.454785e+00   8.721771e-03
  1.030099e+01    1.462463e+00   8.427992e-03
  1.033152e+01    1.459930e+00   8.578433e-03
  1.036204e+01    1.456338e+00   8.335334e-03
  1.039257e+01    1.460718e+00   8.336213e-03
  1.042309e+01    1.468027e+00   8.281667e-03
  1.045361e+01    1.482528e+00   8.148779e-03
  1.048414e+01    1.488357e+00   8.200089e-03
  1.051466e+01    1.493609e+00   8.014387e-03
  1.054519e+01    1.486385e+00   8.113869e-03
  1.057571e+01    1.498493e+00   7.858436e-03
  1.060623e+01    1.508876e+00   8.043643e-03
  1.063676e+01    1.509591e+00   7.779771e-03
  1.066728e+01    1.508822e+00   7.963187e-03
  1.069781e+01    1.510558e+00   7.746720e-03
  1.072833e+01    1.515161e+00   7.831378e-03
  1.075885e+01    1.515944e+00   7.687091e-03
  1.078938e+01    1.519890e+00   7.664318e-03
  1.081990e+01    1.535193e+00   7.726389e-03
  1.085042e+01    1.543389e+00   7.635874e-03
  1.088095e+01    1.543477e+00   7.708648e-03
  1.091147e+01    1.545209e+00   7.534727e-03
  1.094200e+01    1.545156e+00   7.668446e-03
  1.097252e+01    1.558842e+00   7.501456e-03
  1.100304e+01    1.571316e+00   7.719428e-03
  1.103357e+01    1.565023e+00   7.500320e-03
  1.106409e+01    1.562193e+00   7.635831e-03
  1.109462e+01    1.579835e+00   7.519268e-03
  1.112514e+01    1.591901e+00   7.660311e-03
  1.115566e+01    1.594950e+00   7.568506e-03
  1.118619e+01    1.601930e+00   7.574059e-03
  1.121671e+01    1.612888e+00   7.598300e-03
  1.124724e+01    1.618178e+00   7.509337e-03
  1.127776e+01    1.615025e+00   7.560630e-03
  1.130828e+01    1.620287e+00   7.436783e-03
  1.133881e+01    1.630151e+00   7.614406e-03
  1.136933e+01    1.641647e+00   7.453939e-03
  1.139986e+01    1.657080e+00   7.682028e-03
  1.143038e+01    1.662284e+00   7.508902e-03
  1.146090e+01    1.665584e+00   7.723296e-03
  1.149143e+01    1.665553e+00   7.563676e-03
  1.152195e+01    1.667199e+00   7.728377e-03
  1.155248e+01    1.677161e+00   7.627884e-03
  1.158300e+01    1.688648e+00   7.708238e-03
  1.161352e+01    1.706517e+00   7.738188e-03
  1.164405e+01    1.713889e+00   7.714785e-03
  1.167457e+01    1.719719e+00   7.790356e-03
  1.170510e+01    1.720784e+00   7.689772e-03
  1.173562e+01    1.724240e+00   7.799498e-03
  1.176614e+01    1.741725e+00   7.684741e-03
  1.179667e+01    1.758659e+00   7.910377e-03
  1.182719e+01    1.761488e+00   7.743891e-03
  1.185772e+01    1.763121e+00   7.924909e-03
  1.188824e+01    1.771426e+00   7.756438e-03
  1.191876e+01    1.784293e+00   7.975850e-03
  1.194929e+01    1.799110e+00   7.830560e-03
  1.197981e+01    1.813759e+00   8.060359e-03
  1.201033e+01    1.827265e+00   7.973887e-03
  1.204086e+01    1.831519e+00   8.046030e-03
  1.207138e+01    1.843426e+00   8.028601e-03
  1.210191e+01    1.850928e+00   8.030147e-03
  1.213243e+01    1.851147e+00   8.070613e-03
  1.216295e+01    1.859596e+00   8.008766e-03
  1.219348e+01    1.874657e+00   8.156947e-03
  1.222400e+01    1.885899e+00   8.007673e-03
  1.225453e+01    1.895819e+00   8.194838e-03
  1.228505e+01    1.907625e+00   8.031958e-03
  1.231557e+01    1.918186e+00   8.257810e-03
  1.234610e+01    1.932941e+00   8.107265e-03
  1.237662e+01    1.937173e+00   8.323201e-03
  1.240715e+01    1.948408e+00   8.120500e-03
  1.243767e+01    1.966792e+00   8.386320e-03
  1.246819e+01    1.980829e+00   8.243009e-03
  1.249872e+01    1.982363e+00   8.414262e-03
  1.252924e+01    2.000831e+00   8.347635e-03
  1.255977e+01    2.021261e+00   8.456262e-03
  1.259029e+01    2.042232e+00   8.433434e-03
  1.262081e+01    2.052863e+00   8.463251e-03
  1.265134e+01    2.057650e+00   8.497301e-03
